Date,Mean Flow,Peak Flow,Median Flow,Coeff Var,Skew,Tqmean,R-B Index,7Q,3xMedian,Station
1969-10-01,883.9972602739726,6980.0,510.0,126.75067482210676,3.0194537625672835,0.2684931506849315,0.26152067662764716,142.0,49.0,Wildcat
1970-10-01,602.2630136986302,6120.0,378.0,128.74199169232506,3.7916195967802278,0.2273972602739726,0.2841793054506746,130.57142857142858,36.0,Wildcat
1971-10-01,717.9071038251366,10500.0,338.5,162.12643897001996,4.611018560221322,0.2540983606557377,0.23881272977766277,115.57142857142857,56.0,Wildcat
1972-10-01,1204.8849315068494,6020.0,776.0,96.85316496110866,1.7576076486340797,0.3287671232876712,0.23629608238608588,145.71428571428572,50.0,Wildcat
1973-10-01,1359.386301369863,11800.0,672.0,138.3104490160792,2.6620457713261763,0.2602739726027397,0.2390563026023024,130.85714285714286,69.0,Wildcat
1974-10-01,780.9890410958905,6840.0,508.0,122.79487591008098,3.395135404672655,0.2876712328767123,0.2882330448570657,124.71428571428571,40.0,Wildcat
1975-10-01,732.7677595628415,9340.0,306.5,175.88210223114925,3.985360797104406,0.20218579234972678,0.27247914747961355,108.42857142857143,59.0,Wildcat
1976-10-01,320.4986301369863,2510.0,134.0,127.64193300907355,2.618456598818469,0.29863013698630136,0.23900258159374946,57.714285714285715,85.0,Wildcat
1977-10-01,1096.1205479452055,10800.0,400.0,154.28620972689933,2.96962159466789,0.2465753424657534,0.2501774627328261,97.71428571428571,85.0,Wildcat
1978-10-01,681.7095890410959,8200.0,306.0,150.10366320771502,3.9937773070557228,0.26301369863013696,0.3234334308587596,99.28571428571429,79.0,Wildcat
1979-10-01,877.7267759562842,11900.0,415.0,151.422073761112,4.657459810223763,0.23770491803278687,0.2591704851080785,139.71428571428572,70.0,Wildcat
1980-10-01,598.254794520548,8890.0,235.0,155.9111958359996,4.534913889358988,0.2876712328767123,0.2644633019330198,115.57142857142857,91.0,Wildcat
1981-10-01,1140.0657534246575,8660.0,533.0,127.70296293678389,2.584400413143278,0.27123287671232876,0.2733632282684969,141.85714285714286,76.0,Wildcat
1982-10-01,838.813698630137,17800.0,430.0,180.65444740674343,6.857456092129035,0.2684931506849315,0.26938566207331294,102.85714285714286,58.0,Wildcat
1983-10-01,770.8415300546449,7430.0,351.5,142.6607089460771,2.885519269947583,0.2459016393442623,0.2227003345998979,99.42857142857143,72.0,Wildcat
1984-10-01,773.8383561643835,17100.0,283.0,218.72114307075998,6.080595358633654,0.18356164383561643,0.26638248758191685,85.28571428571429,63.0,Wildcat
1985-10-01,925.9561643835616,8000.0,442.0,142.00910562478725,2.9912042538076578,0.27945205479452057,0.2767254285832638,86.42857142857143,69.0,Wildcat
1986-10-01,310.3534246575342,1750.0,248.0,75.45527896287301,2.488045913116209,0.29315068493150687,0.1668093821449695,94.14285714285714,23.0,Wildcat
1987-10-01,559.6994535519126,5950.0,235.0,140.17429829715172,3.3068683507120387,0.29508196721311475,0.2045106175250183,82.85714285714286,90.0,Wildcat
1988-10-01,853.9232876712329,16100.0,421.0,190.4216147575054,5.476521389974545,0.19726027397260273,0.3167555392996708,69.42857142857143,52.0,Wildcat
1989-10-01,943.4767123287671,10400.0,574.0,136.83208320965468,4.012229100231269,0.25205479452054796,0.27230383687265697,154.28571428571428,43.0,Wildcat
1990-10-01,964.5534246575343,16300.0,562.0,163.72324455091788,5.9158026549026,0.29315068493150687,0.2547108179809238,80.42857142857143,51.0,Wildcat
1991-10-01,829.6612021857924,12700.0,420.0,171.13214774581164,5.251188700982782,0.22131147540983606,0.24144426587981135,128.71428571428572,48.0,Wildcat
1992-10-01,1460.1424657534246,14700.0,825.0,125.11708461856566,3.474030327586417,0.2602739726027397,0.2888121256698539,200.42857142857142,53.0,Wildcat
1993-10-01,855.1260273972603,10900.0,445.0,143.53285728434656,4.449991057873046,0.29315068493150687,0.2757552359501603,140.57142857142858,50.0,Wildcat
1994-10-01,503.4739726027397,5090.0,295.0,129.94351983119805,3.499879984172071,0.22465753424657534,0.22877214749031388,83.28571428571429,47.0,Wildcat
1995-10-01,627.25956284153,7400.0,241.5,146.60884502901263,3.2269546231525226,0.27595628415300544,0.26641606084233177,81.42857142857143,93.0,Wildcat
1996-10-01,1021.4794520547945,12800.0,497.0,150.25196649689377,4.031856924469294,0.29315068493150687,0.281866216071237,86.57142857142857,72.0,Wildcat
1997-10-01,1052.9150684931508,16600.0,322.0,182.0051311089401,4.469278614522728,0.2602739726027397,0.3001582039686298,73.42857142857143,102.0,Wildcat
1998-10-01,684.082191780822,14700.0,265.0,200.76407845950408,6.969801688556737,0.25753424657534246,0.2483960110537066,60.0,80.0,Wildcat
1999-10-01,263.5532786885246,7090.0,130.0,191.010742973385,8.676543981606759,0.19398907103825136,0.268966053462298,69.71428571428571,50.0,Wildcat
2000-10-01,513.9068493150685,4330.0,300.0,127.49987284101823,3.5335570386465984,0.2684931506849315,0.25520855546551796,101.85714285714286,42.0,Wildcat
2001-10-01,992.7260273972603,6250.0,560.0,117.57075494546869,2.3779183815227634,0.29863013698630136,0.2783612303191709,94.32857142857142,56.0,Wildcat
2002-10-01,992.7654794520548,19100.0,337.0,220.47457638630945,5.111401546611479,0.20821917808219179,0.28998723366911416,99.05714285714286,71.0,Wildcat
2003-10-01,962.9398907103825,15500.0,563.0,153.14256890731886,5.5912515256764195,0.23770491803278687,0.29416688420025194,167.71428571428572,40.0,Wildcat
2004-10-01,947.9630136986301,17200.0,430.0,203.48908676272242,5.386160595778613,0.2,0.255814847408936,70.32857142857145,56.0,Wildcat
2005-10-01,700.9917808219178,6550.0,450.0,119.04548495927203,3.5660603306315406,0.29041095890410956,0.24009817792403718,137.57142857142858,44.0,Wildcat
2006-10-01,1081.5035616438356,10200.0,535.0,138.01157189372285,3.025155576436994,0.3041095890410959,0.2854797785325756,77.15714285714283,68.0,Wildcat
2007-10-01,1078.0306010928962,9910.0,631.5,119.24004125737633,2.871781025184191,0.3442622950819672,0.2856947702651465,83.24285714285715,60.0,Wildcat
2008-10-01,981.9720547945205,11200.0,260.0,158.39569362348678,3.166504440849654,0.2821917808219178,0.33596135034950636,92.95714285714287,120.0,Wildcat
2009-10-01,977.4789041095892,12700.0,571.0,135.96331758954568,4.545657166231795,0.2958904109589041,0.2738672424840196,110.12857142857142,42.0,Wildcat
2010-10-01,1020.6605479452054,11200.0,307.0,155.61899843072888,2.8507914678970487,0.2684931506849315,0.29735081578918404,91.28571428571429,103.0,Wildcat
2011-10-01,768.5950819672132,8380.0,276.0,163.72253375800713,3.3082748817781704,0.24863387978142076,0.2830151386853737,76.41428571428573,82.0,Wildcat
2012-10-01,1109.4424657534246,21000.0,476.0,190.28505661248354,5.233054151132887,0.21643835616438356,0.30029670586114465,99.1,61.0,Wildcat
2013-10-01,775.828493150685,8010.0,360.0,150.32437561101204,3.2868130994723925,0.23835616438356164,0.2978436838533018,98.17142857142858,67.0,Wildcat
2014-10-01,1021.0819672131148,7830.0,649.0,107.37549884960096,2.7732827298471174,0.25753424657534246,,146.14285714285714,42.0,Wildcat
2015-10-01,713.3005464480874,10500.0,386.5,144.91078201215342,5.26335587159355,0.3087431693989071,0.2654327608132747,125.57142857142857,61.0,Wildcat
2016-10-01,1216.5150684931507,12600.0,540.0,137.9274210515996,2.9246145977173374,0.2876712328767123,0.33851243615267507,141.28571428571428,80.0,Wildcat
2017-10-01,805.5394520547945,7800.0,350.0,149.78119415099366,3.13029367881975,0.23013698630136986,0.33702115386642967,85.6857142857143,67.0,Wildcat
2018-10-01,1426.6602739726027,7740.0,973.0,98.55474545347207,1.9757311153569144,0.32602739726027397,0.28950648223362924,138.28571428571428,45.0,Wildcat
